acct_ref,cust_ref,has_dependents,tenure_mo,home_phone,multi_line,internet_plan,add_on_security,add_on_backup,add_on_protection,tech_support_std,stream_tv,stream_movies,contract_term,e_bill_opt_in,pay_method,monthly_fee,total_billed,left_flag,fiscal_qtr,gender,age_years,is_married,dependents_count,referred_friend,referrals_count,recent_offer,avg_long_dist_fee,internet_tech,avg_gb_download,premium_support,stream_music,unlimited_data_opt,refunds_total,extra_data_fees_total,long_dist_fees_total
ACCT137932,CUST61880322,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,Q3,Female,36,Yes,0,No,0,Offer E,0,DSL,10,No,No,Yes,0,0,0
ACCT115088,CUST55192304,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,Q3,Male,46,No,0,No,0,NA,17.09,DSL,16,No,No,Yes,0,0,581.06
ACCT623423,CUST16890051,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,Q3,Male,37,No,0,No,0,NA,10.47,DSL,21,No,No,Yes,0,0,20.94
ACCT846960,CUST99388728,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,Q3,Male,53,No,0,No,0,NA,0,DSL,10,Yes,No,Yes,0,0,0
ACCT146586,CUST91125265,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,Q3,Female,19,No,2,No,0,NA,9.12,Fiber Optic,51,No,No,Yes,0,0,18.24
ACCT292449,CUST68990457,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,Q3,Male,42,No,3,No,0,Offer D,29.54,Fiber Optic,53,No,No,Yes,0,0,649.88
ACCT613081,CUST20915595,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,Q3,Female,42,No,0,No,0,Offer D,0,DSL,8,No,No,Yes,0,0,0
ACCT780255,CUST50124282,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Q3,Female,23,Yes,3,No,0,Offer C,4.89,Fiber Optic,47,Yes,Yes,Yes,0,0,136.92
ACCT928988,CUST95255113,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,Q3,Male,48,No,0,No,0,Offer B,7.96,DSL,8,No,No,Yes,0,0,493.52
ACCT807352,CUST41727617,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,Q3,Male,37,Yes,2,Yes,1,Offer D,29.68,DSL,22,No,No,No,0,150,385.84
